Summary,Issue key,Issue Type,Status,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Due Date,Votes,Description,Environment,Watchers,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (DateTimePicker_TP1),Custom field (Development),Custom field (Epic Colour),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (LargeText_TP1),Custom field (LookupList(Single)_TP1),Custom field (MultiLookupList(Multiple)_TP1),Custom field (MultiLookupList(Multiple)_TP1),Custom field (MultiLookupList(Multiple)_TP1),Custom field (MultiLookupList(Multiple)_TP1),Custom field (MultiLookupList(Multiple)_TP1),Custom field (Number_TP1),Custom field (Rank),Custom field (Story Points),Custom field (String(Text)_TP1),Custom field ([CHART] Date of First Response),Comment,Labels,Labels,Labels
Bug 5485,TP1-5485,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,445,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l485,SP16,SMO
Bug 5486,TP1-5486,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,446,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l486,nemachgreq,Steve_Pitts
Bug 5487,TP1-5487,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,447,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l487,AprRel,Bill_Wimer
Bug 5488,TP1-5488,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,448,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l488,PDITDevOps,FCG
Bug 5489,TP1-5489,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,449,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l489,CAB-Nov-2019,2019
Bug 5490,TP1-5490,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,450,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l490,CAB0,ElectricOffice
Bug 5491,TP1-5491,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,451,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l491,refunds,Deferred
Bug 5492,TP1-5492,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,452,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l492,LEAF-104,PI_24_Planning
Bug 5493,TP1-5493,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,453,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l493,DEVELOPMENT,SSUPDesign_TD
Bug 5494,TP1-5494,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,454,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l494,web,completed-by-EDP-Platform
Bug 5495,TP1-5495,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,455,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l495,Cubes,"AC256,"
Bug 5496,TP1-5496,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,456,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l496,SSUP_UAT,"WMS,"
Bug 5497,TP1-5497,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,457,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l497,SPIKE,"sMobile,"
Bug 5498,TP1-5498,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,458,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l498,R&D,"AC291,"
Bug 5499,TP1-5499,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,459,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l499,4,"AC409,"
Bug 5500,TP1-5500,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,460,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l500,5,CAB
Bug 5501,TP1-5501,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,461,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l501,6,DOPR
Bug 5502,TP1-5502,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,462,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l502,7,PSC
Bug 5503,TP1-5503,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,463,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l503,8,Holbert
Bug 5504,TP1-5504,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,464,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l504,10,Witherspoon
Bug 5505,TP1-5505,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,465,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l505,11,BW_Backend
Bug 5506,TP1-5506,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,466,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l506,12,Szabo
Bug 5507,TP1-5507,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,467,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l507,13,Garst
Bug 5508,TP1-5508,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,468,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l508,14,swapnil
Bug 5509,TP1-5509,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,469,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l509,15,DR
Bug 5510,TP1-5510,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,470,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l510,16,Research
Bug 5511,TP1-5511,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,471,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l511,PI-7,readyforqa
Bug 5512,TP1-5512,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,472,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l512,BB,Nuclear
Bug 5513,TP1-5513,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,473,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l513,bpo,PI_24_Candidate
Bug 5514,TP1-5514,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,474,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l514,readyfortesting,RMRR
Bug 5515,TP1-5515,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,475,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l515,Prodissue,Transformer_Loading
Bug 5516,TP1-5516,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,476,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l516,Onboarding,CAB-2020-Jan
Bug 5517,TP1-5517,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,477,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l517,DonaV,Mock13
Bug 5518,TP1-5518,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,478,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l518,New,PitneyBowersFunctionality
Bug 5519,TP1-5519,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,479,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l519,neo,PD
Bug 5520,TP1-5520,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,480,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l520,ft,Sprint-1
Bug 5521,TP1-5521,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,481,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l521,non-SOX,Prioritization
Bug 5522,TP1-5522,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,482,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l522,Gulf,Blueprinting/Requirements
Bug 5523,TP1-5523,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,483,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l523,high,"Gathering,"
Bug 5524,TP1-5524,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,484,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l524,readyfortransport,Mock14
Bug 5525,TP1-5525,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,485,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l525,Collection_2,Phase2-Group1
Bug 5526,TP1-5526,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,486,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l526,DASS,CAB-May-2019
Bug 5527,TP1-5527,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,487,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l527,DAM,Ingestion
Bug 5528,TP1-5528,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,488,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l528,DAMS,solution
Bug 5529,TP1-5529,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,489,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l529,PI24dependency,framework
Bug 5530,TP1-5530,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,490,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l530,BillPrint,and
Bug 5531,TP1-5531,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,491,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l531,WMS,patterns
Bug 5532,TP1-5532,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,492,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l532,billcompare,CAB-Dec-2019
Bug 5533,TP1-5533,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,493,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l533,ivrpact3.0,C&P
Bug 5534,TP1-5534,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,494,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l534,SSUP_BUG,PUR
Bug 5535,TP1-5535,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,495,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l535,OLAttachmentmissing,PowerPivot
Bug 5536,TP1-5536,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,496,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l536,Wave4,bpo-rm
Bug 5537,TP1-5537,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,497,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l537,rene,Excel
Bug 5538,TP1-5538,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,498,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l538,Jow,Developement
Bug 5539,TP1-5539,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,499,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l539,LotusNotesReplacementMVP,corporate_portal
Bug 5540,TP1-5540,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,500,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l540,Compliance,SSRS_Decoupling_from_SharePoint
Bug 5541,TP1-5541,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,501,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l541,CableRehab,SSUP_CXReview
Bug 5542,TP1-5542,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,502,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l542,ContinuousImprovement,Interface
Bug 5543,TP1-5543,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,503,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l543,iAFS,D&B
Bug 5544,TP1-5544,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,504,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l544,AMPiAFS,Filesite
Bug 5545,TP1-5545,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,505,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l545,backl,Workshare
Bug 5546,TP1-5546,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,506,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l546,Sprint-2,Portfolio
Bug 5547,TP1-5547,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,507,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l547,Sprint-11,emtdbl22
Bug 5548,TP1-5548,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,508,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l548,Sprint-9,Iteration2.4
Bug 5549,TP1-5549,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,509,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l549,Sprint-8,Batch_Data_Ingestion
Bug 5550,TP1-5550,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,510,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l550,Sprint-7,Disaster_Recovery
Bug 5551,TP1-5551,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,511,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l551,Sprint-14,Streaming_Data_Ingestion
Bug 5552,TP1-5552,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,512,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l552,Sprint-6,Data_Access_API
Bug 5553,TP1-5553,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,513,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l553,Sprint-12,phynes
Bug 5554,TP1-5554,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,514,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l554,Sprint-13,iStormedMVP1
Bug 5555,TP1-5555,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,515,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l555,Sprint-3,iStormedMVP3
Bug 5556,TP1-5556,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,516,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l556,Monitor,iStormedMVP4
Bug 5557,TP1-5557,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,517,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l557,Monitoring,PI_Planning_23_2020
Bug 5558,TP1-5558,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,518,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l558,M&TE,iStormedMVP2
Bug 5559,TP1-5559,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,519,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l559,NAMS,Resource_Center
Bug 5560,TP1-5560,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,520,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l560,PBN,PHOENIX
Bug 5561,TP1-5561,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,521,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l561,ewp,done
Bug 5562,TP1-5562,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,522,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l562,Work-Management,CS2020
Bug 5563,TP1-5563,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,523,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l563,load,P2-2020
Bug 5564,TP1-5564,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,524,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l564,BW,Q1
Bug 5565,TP1-5565,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,525,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l565,failure,Security
Bug 5566,TP1-5566,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,526,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l566,Double-quoted,BPMS-19.0.0.2-Upgrade-QA
Bug 5567,TP1-5567,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,527,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l567,P6,Synergi_v6.x/Ora_EOD_ADMIN/SNRG6_601/01_SNRG6_601_CREATE_VIEW_SYNE_TRANSFERSCHEME.sql
Bug 5568,TP1-5568,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,528,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l568,Parts,Synergi_v6.x/Ora_SYNUOW/SNRG6_601/02_SNRG6_601_ALTER_VIEW_SYNE_RECLOSER.sql
Bug 5569,TP1-5569,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,529,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l569,analytics,read
Bug 5570,TP1-5570,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,530,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l570,Health,API
Bug 5571,TP1-5571,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,531,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l571,Quality,Precision-Hawk
Bug 5572,TP1-5572,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,532,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l572,Schedule,SuportCase
Bug 5573,TP1-5573,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,533,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l573,Production_Cubes,DSS
